t_sec,stock1,stock2
1,89,152.7
2,89,152.7
3,89,152.7
4,89,152.7
5,89,152.7
6,89,152.7
7,89,152.7
8,89,152.7
9,89,152.7
10,89,152.7
11,89,152.7
12,89,152.7
13,89,152.7
14,89,152.7
15,89,152.7
16,89,152.7
17,89,152.7
18,89,152.7
19,89,152.7
20,89,152.7
21,89,152.7
22,89,152.7
23,89,152.7
24,89,152.7
25,89,152.7
26,89,152.7
27,89,152.7
28,89,152.7
29,89,152.7
30,89,152.7
31,89,152.7
32,89,152.7
33,89,152.7
34,89,152.7
35,89,152.7
36,89,152.7
37,89,152.7
38,89,152.7
39,89,152.7
40,89,152.7
41,89,152.7
42,89,152.7
43,89,152.7
44,89,152.7
45,89,152.7
46,89,152.7
47,87.7,155.3
48,87.7,155.3
49,87.7,155.3
50,87.7,155.3
51,87.7,155.3
52,87.7,155.3
53,87.7,155.3
54,87.7,155.3
55,87.7,155.3
56,87.7,155.3
57,87.7,155.3
58,87.7,155.3
59,87.7,155.3
60,87.7,155.3
61,87.7,155.3
62,87.7,155.3
63,87.7,155.3
64,87.7,155.3
65,87.7,155.3
66,87.7,155.3
67,87.7,155.3
68,87.7,155.3
69,87.7,155.3
70,87.7,155.3
71,87.7,155.3
72,87.7,155.3
73,87.7,155.3
74,87.7,155.3
75,87.7,155.3
76,87.7,155.3
77,87.7,155.3
78,87.7,155.3
79,87.7,155.3
80,83.5,156.3
81,83.5,156.3
82,83.5,156.3
83,83.5,156.3
84,83.5,156.3
85,83.5,156.3
86,83.5,156.3
87,83.5,156.3
88,83.5,156.3
89,83.5,156.3
90,83.5,156.3
91,83.5,156.3
92,83.5,156.3
93,83.5,156.3
94,83.5,156.3
95,83.5,156.3
96,83.5,156.3
97,83.5,156.3
98,83.5,156.3
99,83.5,156.3
100,83.5,156.3
101,83.5,156.3
102,83.5,156.3
103,83.5,156.3
104,83.5,156.3
105,83.5,156.3
106,83.5,156.3
107,83.5,156.3
108,83.5,156.3
109,83.5,156.3
110,83.5,156.3
111,83.5,156.3
112,83.5,156.3
113,83.5,156.3
114,83.5,156.3
115,83.5,156.3
116,83.6,157.8
117,83.6,157.8
118,83.6,157.8
119,83.6,157.8
120,83.6,157.8
121,83.6,157.8
122,83.6,157.8
123,83.6,157.8
124,83.6,157.8
125,83.6,157.8
126,83.6,157.8
127,83.6,157.8
128,83.6,157.8
129,83.6,157.8
130,83.6,157.8
131,83.6,157.8
132,83.6,157.8
133,83.6,157.8
134,83.6,157.8
135,83.6,157.8
136,83.6,157.8
137,83.6,157.8
138,83.6,157.8
139,83.6,157.8
140,83.6,157.8
141,83.6,157.8
142,83.6,157.8
143,83.6,157.8
144,83.6,157.8
145,83.6,157.8
146,83.6,157.8
147,83.6,157.8
148,83.6,157.8
149,83.6,157.8
150,83.6,157.8
151,82,162.8
152,82,162.8
153,82,162.8
154,82,162.8
155,82,162.8
156,82,162.8
157,82,162.8
158,82,162.8
159,82,162.8
160,82,162.8
161,81.8,163.6
162,81.8,163.6
163,81.8,163.6
164,81.8,163.6
165,81.8,163.6
166,81.8,163.6
167,81.8,163.6
168,81.8,163.6
169,81.8,163.6
170,81.8,163.6
171,81.8,163.6
172,81.8,163.6
173,81.8,163.6
174,81.8,163.6
175,81.8,163.6
176,81.8,163.6
177,81.8,163.6
178,81.8,163.6
179,81.8,163.6
180,81.8,163.6
181,81.8,163.6
182,81.8,163.6
183,81.8,163.6
184,81.8,163.6
185,81.8,163.6
186,81.8,163.6
187,81.8,163.6
188,81.8,163.6
189,81.8,163.6
190,81.8,163.6
191,81.8,163.6
192,81.8,163.6
193,81.8,163.6
194,81.8,163.6
195,81.8,163.6
196,81.8,163.6
197,81.8,163.6
198,78.4,164.5
199,78.4,164.5
200,78.4,164.5
201,78.4,164.5
202,78.4,164.5
203,78.4,164.5
204,78.4,164.5
205,78.4,164.5
206,78.4,164.5
207,78.4,164.5
208,78.4,164.5
209,78.4,164.5
210,78.4,164.5
211,78.4,164.5
212,78.4,164.5
213,78.4,164.5
214,78.4,164.5
215,78.4,164.5
216,78.4,164.5
217,78.4,164.5
218,78.4,164.5
219,78.4,164.5
220,78.4,164.5
221,78.4,164.5
222,78.4,164.5
223,78.4,164.5
224,78.4,164.5
225,78.4,164.5
226,78.4,164.5
227,78.4,164.5
228,78.4,164.5
229,74.9,168.2
230,74.9,168.2
231,74.9,168.2
232,74.9,168.2
233,74.9,168.2
234,74.9,168.2
235,74.9,168.2
236,74.9,168.2
237,74.9,168.2
238,74.9,168.2
239,74.9,168.2
240,74.9,168.2
241,74.9,168.2
242,74.9,168.2
243,74.9,168.2
244,74.9,168.2
245,74.9,168.2
246,74.9,168.2
247,74.9,168.2
248,74.9,168.2
249,74.9,168.2
250,74.9,168.2
