t_sec,symbol,bid,bid_size,ask,ask_size
0.000,STOCK1,,,,
0.000,STOCK2,,,,
0.566,STOCK1,,,9999.99,5000
0.638,STOCK1,,,898.00,1000
0.728,STOCK1,10.01,5000,898.00,1000
1.196,STOCK1,10.01,5000,500.00,100
1.710,STOCK2,,,9999.00,5000
1.923,STOCK2,,,9999.00,10000
2.159,STOCK2,,,9999.00,15000
2.290,STOCK2,,,9999.00,20000
4.956,STOCK1,10.01,5000,298.00,1000
5.291,STOCK2,1.00,5000,9999.00,20000
5.403,STOCK2,1.00,10000,9999.00,20000
5.544,STOCK2,1.00,15000,9999.00,20000
5.675,STOCK2,1.00,20000,9999.00,20000
5.815,STOCK2,1.00,25000,9999.00,20000
5.946,STOCK2,1.00,30000,9999.00,20000
6.217,STOCK1,30.00,1000,298.00,1000
7.258,STOCK1,10.01,5000,298.00,1000
7.812,STOCK1,11.00,1000,298.00,1000
8.685,STOCK2,1.00,30000,400.00,100
10.916,STOCK1,11.00,1000,295.00,10
14.454,STOCK1,11.00,1000,295.00,1010
14.680,STOCK1,11.00,1000,100.00,1000
15.637,STOCK1,12.00,100,100.00,1000
18.173,STOCK1,12.00,100,100.00,990
20.021,STOCK1,12.01,5000,100.00,990
23.003,STOCK1,12.01,5000,99.00,1000
23.265,STOCK2,31.00,100,400.00,100
25.756,STOCK1,12.01,5000,100.00,990
26.957,STOCK2,31.00,100,9999.00,39600
28.022,STOCK1,12.01,5000,900.00,300
28.366,STOCK1,12.01,5000,9999.99,9300
30.986,STOCK2,50.00,1000,9999.00,39600
31.036,STOCK2,50.00,500,9999.00,39600
31.922,STOCK2,31.00,100,9999.00,39600
32.276,STOCK2,1.00,29600,9999.00,39600
32.459,STOCK2,1.00,29100,9999.00,39600
32.631,STOCK2,1.00,28600,9999.00,39600
32.651,STOCK1,12.03,200,9999.99,9300
32.813,STOCK2,1.00,28100,9999.00,39600
32.984,STOCK2,1.00,27600,9999.00,39600
33.085,STOCK1,12.03,190,9999.99,9300
33.186,STOCK2,1.00,27100,9999.00,39600
33.372,STOCK2,1.00,26600,9999.00,39600
33.595,STOCK2,1.00,26100,9999.00,39600
35.458,STOCK1,12.03,190,400.00,1000
37.102,STOCK2,1.00,26100,100.00,1000
37.406,STOCK2,1.00,31100,100.00,1000
37.551,STOCK2,1.00,36100,100.00,1000
40.406,STOCK1,12.03,190,300.00,100
40.703,STOCK1,12.03,190,300.00,1100
40.744,STOCK2,15.00,5000,100.00,1000
41.847,STOCK1,12.03,190,9999.99,7400
42.365,STOCK2,15.00,5000,100.00,500
42.385,STOCK1,12.03,190,300.00,1000
47.859,STOCK1,12.03,190,300.00,1100
48.738,STOCK2,15.00,3500,100.00,500
48.788,STOCK1,12.03,190,300.00,2100
49.534,STOCK2,15.00,2000,100.00,500
49.667,STOCK1,12.03,190,300.00,3100
49.777,STOCK2,15.00,500,100.00,500
49.978,STOCK2,1.00,35100,100.00,500
50.168,STOCK2,1.00,33600,100.00,500
50.352,STOCK2,1.00,32100,100.00,500
50.545,STOCK2,1.00,30600,100.00,500
50.717,STOCK2,1.00,29100,100.00,500
50.768,STOCK2,1.00,29100,9999.00,39630
50.788,STOCK1,12.03,190,300.00,4100
50.912,STOCK2,1.00,27600,9999.00,39630
51.105,STOCK2,1.00,26100,9999.00,39630
51.309,STOCK2,1.00,24600,9999.00,39630
52.793,STOCK2,1.00,24600,499.00,300
54.214,STOCK1,12.03,190,300.00,5100
57.958,STOCK1,12.03,190,200.00,1000
59.613,STOCK2,1.00,24600,450.00,5000
61.271,STOCK2,1.00,24599,450.00,5000
65.143,STOCK2,1.00,24599,445.00,1000
65.214,STOCK2,1.00,24099,445.00,1000
65.608,STOCK2,1.00,24099,445.00,2000
66.263,STOCK2,1.00,24099,445.00,3000
66.627,STOCK2,1.00,24099,400.00,1000
67.029,STOCK2,50.00,5000,400.00,1000
70.377,STOCK2,50.00,5000,399.00,50
71.159,STOCK2,50.00,5000,399.00,100
71.189,STOCK2,50.00,3000,399.00,100
71.390,STOCK1,12.03,190,199.00,100
75.962,STOCK2,50.00,3000,398.00,1000
76.497,STOCK2,50.00,8000,398.00,1000
77.304,STOCK2,50.00,8000,390.00,5000
79.321,STOCK2,50.01,50,390.00,5000
79.919,STOCK2,50.01,100,390.00,5000
82.910,STOCK1,30.00,1000,199.00,100
87.277,STOCK2,50.01,100,380.00,10
88.664,STOCK2,50.01,100,380.00,20
89.353,STOCK2,50.01,100,380.00,30
89.545,STOCK2,50.01,100,380.00,40
89.666,STOCK2,50.01,100,380.00,50
89.817,STOCK2,50.01,100,380.00,60
89.999,STOCK2,50.01,100,380.00,70
91.152,STOCK2,50.01,100,380.00,80
95.742,STOCK2,50.01,100,380.00,180
96.084,STOCK1,30.00,1000,198.00,50
96.297,STOCK2,50.01,100,380.00,280
96.985,STOCK2,50.01,100,380.00,380
97.782,STOCK1,31.00,100,198.00,50
97.782,STOCK2,50.01,100,300.00,5000
98.752,STOCK1,31.00,100,150.00,1000
99.157,STOCK2,50.01,100,300.00,6000
99.978,STOCK1,31.00,1100,150.00,1000
100.939,STOCK1,31.00,2100,150.00,1000
101.598,STOCK1,31.00,3100,150.00,1000
101.639,STOCK1,31.00,3100,150.00,2000
102.841,STOCK1,31.00,4100,150.00,2000
104.508,STOCK1,32.00,5000,150.00,2000
105.022,STOCK2,50.01,100,299.00,1000
105.527,STOCK1,32.00,5000,150.00,3000
112.157,STOCK1,32.00,5000,150.00,2000
113.025,STOCK1,32.00,5000,150.00,1900
113.136,STOCK1,33.00,1000,150.00,1900
114.256,STOCK2,50.01,100,298.90,50
114.551,STOCK2,50.01,100,298.90,100
114.652,STOCK1,33.00,1000,120.00,100
114.843,STOCK1,33.00,1000,120.00,200
115.017,STOCK1,33.00,1000,120.00,300
115.219,STOCK1,33.00,1000,120.00,400
115.433,STOCK1,33.00,1000,120.00,500
115.635,STOCK1,33.00,1000,120.00,600
115.830,STOCK1,33.00,1000,120.00,700
116.842,STOCK1,33.00,1000,150.00,1600
118.352,STOCK2,50.01,100,298.90,150
118.535,STOCK2,50.01,100,298.90,200
119.459,STOCK1,50.00,5000,150.00,1600
120.838,STOCK2,50.01,100,298.00,1000
123.222,STOCK1,50.00,5000,150.00,600
123.417,STOCK1,50.00,5000,200.00,1750
125.428,STOCK2,50.01,100,298.00,990
126.263,STOCK1,51.00,1000,200.00,1750
126.856,STOCK1,70.00,500,200.00,1750
129.278,STOCK2,50.01,100,200.00,1000
131.127,STOCK1,70.00,500,190.00,1000
133.552,STOCK1,80.00,5000,190.00,1000
136.910,STOCK2,50.01,100,190.00,1000
138.826,STOCK1,80.00,5000,300.00,2250
140.149,STOCK1,80.00,4500,300.00,2250
144.775,STOCK1,80.00,4500,290.00,1000
147.392,STOCK2,50.01,100,189.00,10
149.384,STOCK1,80.00,4500,280.00,1000
149.859,STOCK2,50.01,100,189.00,1010
150.821,STOCK2,50.01,100,189.00,2010
152.104,STOCK1,80.00,4500,200.00,1000
152.336,STOCK2,50.01,100,180.00,2000
153.469,STOCK1,81.00,50,200.00,1000
155.106,STOCK1,81.00,100,200.00,1000
156.527,STOCK2,50.01,100,170.00,1000
157.192,STOCK1,81.00,100,290.00,1000
157.192,STOCK2,50.01,100,170.00,2000
157.273,STOCK1,81.00,100,279.00,100
157.648,STOCK1,81.00,100,279.00,50
161.963,STOCK1,81.00,100,250.00,100
162.125,STOCK1,81.00,100,250.00,200
162.329,STOCK1,81.00,100,250.00,300
163.353,STOCK2,50.01,100,160.00,2000
167.152,STOCK1,81.00,50,250.00,300
167.436,STOCK1,81.00,50,240.00,1000
168.079,STOCK1,81.00,50,240.00,2000
169.028,STOCK2,50.01,100,160.00,1000
169.119,STOCK2,50.01,100,170.00,2000
171.555,STOCK2,50.01,100,189.00,2010
172.846,STOCK1,81.00,50,240.00,3000
177.290,STOCK2,50.01,100,188.00,50
177.706,STOCK2,50.01,100,188.00,100
177.837,STOCK2,52.00,1000,188.00,100
180.191,STOCK1,82.00,1000,240.00,3000
180.789,STOCK1,82.00,2000,240.00,3000
183.548,STOCK1,82.00,3000,240.00,3000
184.237,STOCK1,82.00,4000,240.00,3000
184.815,STOCK2,52.00,1000,180.00,5000
184.945,STOCK1,82.00,3950,240.00,3000
184.945,STOCK1,82.00,4950,240.00,3000
186.215,STOCK1,82.00,4900,240.00,3000
186.235,STOCK2,52.00,1000,180.00,4950
187.337,STOCK1,82.00,4900,230.00,500
187.427,STOCK1,82.00,4850,230.00,500
187.599,STOCK1,82.00,4800,230.00,500
187.773,STOCK1,82.00,4750,230.00,500
187.934,STOCK1,82.00,4700,230.00,500
188.115,STOCK1,82.00,4650,230.00,500
188.308,STOCK1,82.00,4600,230.00,500
189.397,STOCK1,80.00,5150,230.00,500
191.148,STOCK1,80.00,150,230.00,500
193.641,STOCK1,80.00,150,220.00,1000
196.447,STOCK1,82.00,1000,220.00,1000
196.960,STOCK1,82.00,2000,220.00,1000
197.679,STOCK1,82.00,3000,220.00,1000
197.982,STOCK1,100.00,10,220.00,1000
198.143,STOCK1,82.00,2010,220.00,1000
200.375,STOCK1,82.00,2010,210.00,1000
200.717,STOCK1,82.00,2000,210.00,1000
201.262,STOCK1,82.00,2000,210.00,2000
