id,t_sec,symbol,price,qty,taker_side,buyer,seller,bid,ask
1,7.258,STOCK1,30.00,1000,sell,T-029,T-018,30.00,298.00
2,18.173,STOCK1,100.00,10,buy,T-038,T-029,12.00,100.00
3,25.756,STOCK1,99.00,1000,buy,T-018,T-041,12.01,99.00
4,26.957,STOCK2,400.00,100,buy,T-008,T-045,31.00,400.00
5,26.957,STOCK2,9999.00,400,buy,T-008,T-032,31.00,400.00
6,28.022,STOCK1,100.00,990,buy,T-053,T-029,12.01,100.00
7,28.022,STOCK1,295.00,10,buy,T-053,T-041,12.01,100.00
8,28.022,STOCK1,295.00,1000,buy,T-053,T-041,12.01,100.00
9,28.022,STOCK1,298.00,1000,buy,T-053,T-019,12.01,100.00
10,28.022,STOCK1,300.00,200,buy,T-053,T-030,12.01,100.00
11,28.022,STOCK1,500.00,100,buy,T-053,T-013,12.01,100.00
12,28.022,STOCK1,898.00,1000,buy,T-053,T-019,12.01,100.00
13,28.022,STOCK1,900.00,700,buy,T-053,T-051,12.01,100.00
14,28.366,STOCK1,900.00,300,buy,T-018,T-051,12.01,900.00
15,28.366,STOCK1,9999.99,700,buy,T-018,T-037,12.01,900.00
16,31.036,STOCK2,50.00,500,sell,T-016,T-008,50.00,9999.00
17,31.922,STOCK2,50.00,500,sell,T-016,T-008,50.00,9999.00
18,32.276,STOCK2,31.00,100,sell,T-045,T-008,31.00,9999.00
19,32.276,STOCK2,1.00,400,sell,T-032,T-008,31.00,9999.00
20,32.459,STOCK2,1.00,500,sell,T-032,T-008,1.00,9999.00
21,32.631,STOCK2,1.00,500,sell,T-032,T-008,1.00,9999.00
22,32.813,STOCK2,1.00,500,sell,T-032,T-008,1.00,9999.00
23,32.984,STOCK2,1.00,500,sell,T-032,T-008,1.00,9999.00
24,33.085,STOCK1,12.03,10,sell,T-030,T-033,12.03,9999.99
25,33.186,STOCK2,1.00,500,sell,T-032,T-008,1.00,9999.00
26,33.372,STOCK2,1.00,500,sell,T-032,T-008,1.00,9999.00
27,33.595,STOCK2,1.00,500,sell,T-032,T-008,1.00,9999.00
28,41.847,STOCK1,300.00,100,buy,T-053,T-031,12.03,300.00
29,41.847,STOCK1,300.00,1000,buy,T-053,T-041,12.03,300.00
30,41.847,STOCK1,400.00,1000,buy,T-053,T-040,12.03,300.00
31,41.847,STOCK1,9995.00,1000,buy,T-053,T-041,12.03,300.00
32,41.847,STOCK1,9999.99,1900,buy,T-053,T-037,12.03,300.00
33,42.365,STOCK2,100.00,500,buy,T-008,T-016,15.00,100.00
34,48.738,STOCK2,15.00,1500,sell,T-011,T-008,15.00,100.00
35,49.534,STOCK2,15.00,1500,sell,T-011,T-008,15.00,100.00
36,49.777,STOCK2,15.00,1500,sell,T-011,T-008,15.00,100.00
37,49.978,STOCK2,15.00,500,sell,T-011,T-008,15.00,100.00
38,49.978,STOCK2,1.00,1000,sell,T-032,T-008,15.00,100.00
39,50.168,STOCK2,1.00,100,sell,T-032,T-008,1.00,100.00
40,50.168,STOCK2,1.00,1400,sell,T-032,T-008,1.00,100.00
41,50.352,STOCK2,1.00,1500,sell,T-032,T-008,1.00,100.00
42,50.545,STOCK2,1.00,1500,sell,T-032,T-008,1.00,100.00
43,50.717,STOCK2,1.00,600,sell,T-032,T-008,1.00,100.00
44,50.717,STOCK2,1.00,900,sell,T-032,T-008,1.00,100.00
45,50.768,STOCK2,100.00,500,buy,T-006,T-016,1.00,100.00
46,50.912,STOCK2,1.00,1500,sell,T-032,T-008,1.00,9999.00
47,51.105,STOCK2,1.00,1500,sell,T-032,T-008,1.00,9999.00
48,51.309,STOCK2,1.00,1100,sell,T-032,T-008,1.00,9999.00
49,51.309,STOCK2,1.00,400,sell,T-032,T-008,1.00,9999.00
50,61.271,STOCK2,1.00,1,sell,T-032,T-003,1.00,450.00
51,65.214,STOCK2,1.00,500,sell,T-032,T-006,1.00,445.00
52,71.189,STOCK2,50.00,2000,sell,T-016,T-053,50.00,399.00
53,112.157,STOCK1,150.00,1000,buy,T-049,T-040,32.00,150.00
54,113.025,STOCK1,150.00,100,buy,T-015,T-040,32.00,150.00
55,116.842,STOCK1,120.00,100,buy,T-026,T-046,33.00,120.00
56,116.842,STOCK1,120.00,100,buy,T-026,T-046,33.00,120.00
57,116.842,STOCK1,120.00,100,buy,T-026,T-046,33.00,120.00
58,116.842,STOCK1,120.00,100,buy,T-026,T-046,33.00,120.00
59,116.842,STOCK1,120.00,100,buy,T-026,T-046,33.00,120.00
60,116.842,STOCK1,120.00,100,buy,T-026,T-046,33.00,120.00
61,116.842,STOCK1,120.00,100,buy,T-026,T-046,33.00,120.00
62,116.842,STOCK1,150.00,300,buy,T-026,T-040,33.00,120.00
63,123.222,STOCK1,150.00,600,buy,T-049,T-040,50.00,150.00
64,123.222,STOCK1,150.00,400,buy,T-049,T-040,50.00,150.00
65,123.417,STOCK1,150.00,600,buy,T-049,T-040,50.00,150.00
66,123.417,STOCK1,198.00,50,buy,T-049,T-030,50.00,150.00
67,123.417,STOCK1,199.00,100,buy,T-049,T-045,50.00,150.00
68,123.417,STOCK1,200.00,250,buy,T-049,T-019,50.00,150.00
69,125.428,STOCK2,298.00,10,buy,T-024,T-031,50.01,298.00
70,138.826,STOCK1,190.00,1000,buy,T-028,T-040,80.00,190.00
71,138.826,STOCK1,200.00,1000,buy,T-028,T-029,80.00,190.00
72,138.826,STOCK1,250.00,50,buy,T-028,T-030,80.00,190.00
73,138.826,STOCK1,250.00,50,buy,T-028,T-030,80.00,190.00
74,138.826,STOCK1,250.00,50,buy,T-028,T-030,80.00,190.00
75,138.826,STOCK1,300.00,1000,buy,T-028,T-041,80.00,190.00
76,138.826,STOCK1,300.00,100,buy,T-028,T-031,80.00,190.00
77,138.826,STOCK1,300.00,1000,buy,T-028,T-041,80.00,190.00
78,138.826,STOCK1,300.00,750,buy,T-028,T-041,80.00,190.00
79,140.149,STOCK1,80.00,500,sell,T-016,T-047,80.00,300.00
80,157.192,STOCK1,200.00,1000,buy,T-053,T-051,81.00,200.00
81,157.192,STOCK1,280.00,1000,buy,T-053,T-031,81.00,200.00
82,157.648,STOCK1,279.00,50,buy,T-044,T-045,81.00,279.00
83,167.152,STOCK1,81.00,50,sell,T-030,T-052,81.00,250.00
84,169.028,STOCK2,160.00,1000,buy,T-049,T-016,50.01,160.00
85,169.119,STOCK2,160.00,1000,buy,T-026,T-016,50.01,160.00
86,171.555,STOCK2,170.00,1000,buy,T-053,T-032,50.01,170.00
87,171.555,STOCK2,170.00,1000,buy,T-053,T-032,50.01,170.00
88,184.945,STOCK1,82.00,50,sell,T-040,T-033,82.00,240.00
89,186.215,STOCK1,82.00,50,sell,T-040,T-033,82.00,240.00
90,186.235,STOCK2,180.00,50,buy,T-052,T-011,52.00,180.00
91,187.427,STOCK1,82.00,50,sell,T-040,T-033,82.00,230.00
92,187.599,STOCK1,82.00,50,sell,T-040,T-033,82.00,230.00
93,187.773,STOCK1,82.00,50,sell,T-040,T-033,82.00,230.00
94,187.934,STOCK1,82.00,50,sell,T-040,T-033,82.00,230.00
95,188.115,STOCK1,82.00,50,sell,T-040,T-033,82.00,230.00
96,188.308,STOCK1,82.00,50,sell,T-040,T-033,82.00,230.00
97,189.397,STOCK1,82.00,600,sell,T-040,T-028,82.00,230.00
98,189.397,STOCK1,82.00,1000,sell,T-040,T-028,82.00,230.00
99,189.397,STOCK1,82.00,1000,sell,T-041,T-028,82.00,230.00
100,189.397,STOCK1,82.00,1000,sell,T-041,T-028,82.00,230.00
101,189.397,STOCK1,82.00,1000,sell,T-041,T-028,82.00,230.00
102,189.397,STOCK1,81.00,50,sell,T-030,T-028,82.00,230.00
103,189.397,STOCK1,80.00,350,sell,T-016,T-028,82.00,230.00
104,191.148,STOCK1,80.00,4150,sell,T-016,T-028,80.00,230.00
105,191.148,STOCK1,80.00,850,sell,T-029,T-028,80.00,230.00
106,198.143,STOCK1,100.00,10,sell,T-019,T-050,100.00,220.00
107,198.143,STOCK1,82.00,990,sell,T-041,T-050,100.00,220.00
108,200.717,STOCK1,82.00,10,sell,T-041,T-025,82.00,210.00
109,203.267,STOCK1,82.00,10,sell,T-041,T-025,82.00,210.00
110,207.204,STOCK1,82.00,100,sell,T-041,T-043,82.00,210.00
111,208.039,STOCK1,82.00,500,sell,T-041,T-047,82.00,210.00
112,209.839,STOCK1,82.00,50,sell,T-041,T-033,82.00,210.00
113,210.101,STOCK2,180.00,199,buy,T-008,T-011,52.00,180.00
114,210.436,STOCK1,85.00,50,sell,T-019,T-033,85.00,210.00
115,211.149,STOCK1,85.00,50,sell,T-019,T-033,85.00,210.00
116,211.735,STOCK1,82.00,50,sell,T-041,T-033,82.00,200.00
117,211.968,STOCK1,82.00,10,sell,T-041,T-025,82.00,200.00
118,214.511,STOCK1,85.00,50,sell,T-019,T-033,85.00,200.00
119,214.745,STOCK1,85.00,10,sell,T-019,T-025,85.00,200.00
120,214.866,STOCK1,85.00,40,sell,T-019,T-033,85.00,200.00
121,214.866,STOCK1,85.00,10,sell,T-019,T-033,85.00,200.00
122,215.616,STOCK2,83.00,199,sell,T-040,T-008,83.00,178.00
123,215.820,STOCK1,85.00,50,sell,T-019,T-033,85.00,200.00
124,216.415,STOCK1,85.00,40,sell,T-019,T-033,85.00,200.00
125,216.415,STOCK1,85.00,10,sell,T-019,T-033,85.00,200.00
126,216.982,STOCK1,85.00,50,sell,T-019,T-033,85.00,200.00
127,217.641,STOCK1,85.00,10,sell,T-019,T-025,85.00,200.00
128,217.661,STOCK1,85.00,30,sell,T-019,T-033,85.00,200.00
129,217.661,STOCK1,85.00,20,sell,T-019,T-033,85.00,200.00
130,218.249,STOCK1,85.00,50,sell,T-019,T-033,85.00,200.00
131,218.856,STOCK1,85.00,30,sell,T-019,T-033,85.00,200.00
132,218.856,STOCK1,85.00,20,sell,T-019,T-033,85.00,200.00
133,219.360,STOCK1,85.00,10,sell,T-019,T-025,85.00,200.00
134,220.452,STOCK2,84.00,100,sell,T-041,T-048,84.00,177.00
135,221.851,STOCK1,85.00,50,sell,T-019,T-033,85.00,200.00
136,222.389,STOCK1,85.00,20,sell,T-019,T-033,85.00,200.00
137,222.389,STOCK1,85.00,30,sell,T-019,T-033,85.00,200.00
138,222.461,STOCK1,85.00,10,sell,T-019,T-025,85.00,200.00
139,222.583,STOCK1,85.00,50,sell,T-019,T-033,85.00,200.00
140,222.954,STOCK1,85.00,10,sell,T-019,T-033,85.00,200.00
141,222.954,STOCK1,85.00,40,sell,T-038,T-033,85.00,200.00
142,223.760,STOCK1,85.00,10,sell,T-038,T-002,85.00,200.00
143,224.244,STOCK2,85.00,50,sell,T-030,T-008,85.00,177.00
144,224.244,STOCK2,84.00,149,sell,T-041,T-008,85.00,177.00
145,224.737,STOCK1,90.00,50,sell,T-032,T-033,90.00,200.00
146,225.607,STOCK1,90.00,50,sell,T-032,T-033,90.00,200.00
147,225.810,STOCK1,90.00,50,sell,T-032,T-033,90.00,200.00
148,225.830,STOCK1,90.00,10,sell,T-032,T-025,90.00,200.00
149,225.931,STOCK1,90.00,10,sell,T-032,T-002,90.00,200.00
150,226.053,STOCK1,90.00,50,sell,T-032,T-033,90.00,200.00
151,226.113,STOCK1,90.00,50,sell,T-032,T-033,90.00,200.00
152,226.253,STOCK1,90.00,50,sell,T-032,T-033,90.00,200.00
153,226.387,STOCK1,90.00,50,sell,T-032,T-033,90.00,200.00
154,226.519,STOCK1,90.00,50,sell,T-032,T-033,90.00,200.00
155,226.650,STOCK1,90.00,50,sell,T-032,T-033,90.00,200.00
156,226.821,STOCK1,90.00,50,sell,T-032,T-033,90.00,200.00
157,226.893,STOCK1,90.00,50,sell,T-032,T-033,90.00,200.00
158,227.024,STOCK1,90.00,50,sell,T-032,T-033,90.00,200.00
159,227.343,STOCK1,90.00,50,sell,T-032,T-033,90.00,200.00
160,227.405,STOCK1,90.00,50,sell,T-032,T-033,90.00,200.00
161,227.536,STOCK1,90.00,50,sell,T-032,T-033,90.00,200.00
162,227.617,STOCK1,90.00,230,sell,T-032,T-047,90.00,200.00
163,227.617,STOCK1,90.00,270,sell,T-032,T-047,90.00,200.00
164,227.689,STOCK1,90.00,50,sell,T-032,T-033,90.00,200.00
165,227.819,STOCK1,90.00,50,sell,T-032,T-033,90.00,200.00
166,227.922,STOCK2,84.00,199,sell,T-041,T-008,84.00,177.00
167,227.932,STOCK1,90.00,50,sell,T-032,T-033,90.00,200.00
168,228.135,STOCK1,90.00,10,sell,T-032,T-025,90.00,200.00
169,228.155,STOCK1,90.00,50,sell,T-032,T-033,90.00,200.00
170,228.207,STOCK1,90.00,50,sell,T-032,T-033,90.00,200.00
171,228.316,STOCK1,90.00,50,sell,T-032,T-033,90.00,200.00
172,228.834,STOCK1,90.00,50,sell,T-032,T-033,90.00,200.00
173,229.199,STOCK1,90.00,50,sell,T-032,T-033,90.00,200.00
174,229.250,STOCK1,90.00,10,sell,T-032,T-025,90.00,200.00
175,229.250,STOCK1,90.00,50,sell,T-032,T-033,90.00,200.00
176,229.402,STOCK1,90.00,50,sell,T-032,T-033,90.00,200.00
177,229.564,STOCK1,90.00,50,sell,T-032,T-033,90.00,200.00
178,229.726,STOCK1,90.00,50,sell,T-032,T-033,90.00,200.00
179,229.867,STOCK1,90.00,50,sell,T-032,T-033,90.00,200.00
180,230.019,STOCK1,90.00,50,sell,T-032,T-033,90.00,200.00
181,230.250,STOCK1,90.00,10,sell,T-032,T-033,90.00,200.00
182,230.250,STOCK1,90.00,40,sell,T-032,T-033,90.00,200.00
183,230.301,STOCK1,90.00,50,sell,T-032,T-033,90.00,200.00
184,230.452,STOCK1,90.00,50,sell,T-032,T-033,90.00,200.00
185,230.493,STOCK1,90.00,860,sell,T-032,T-043,90.00,200.00
186,230.493,STOCK1,85.00,50,sell,T-038,T-043,90.00,200.00
