t_sec,stock1,stock2
367,252.9,131.4
368,252.9,131.4
369,252.9,131.4
370,252.9,131.4
371,252.9,131.4
372,252.9,131.4
373,252.9,131.4
374,252.9,131.4
375,252.9,131.4
376,252.9,131.4
377,252.9,131.4
378,252.9,131.4
379,252.9,131.4
380,252.9,131.4
381,252.9,131.4
382,252.9,131.4
383,252.9,131.4
384,252.9,131.4
385,252.9,131.4
386,252.9,131.4
387,252.9,131.4
388,252.9,131.4
389,252.9,131.4
390,252.9,131.4
391,252.9,131.4
392,252.9,131.4
393,252.9,131.4
394,252.9,131.4
395,252.9,131.4
396,252.9,131.4
397,252.9,131.4
398,252.9,131.4
399,252.9,131.4
400,252.9,131.4
401,252.9,131.4
402,252.9,131.4
403,252.9,131.4
404,252.9,131.4
405,252.9,131.4
406,252.9,131.4
407,252.9,131.4
408,252.9,131.4
409,252.9,131.4
410,252.9,131.4
411,252.9,131.4
412,252.9,131.4
413,252.9,131.4
414,252.9,131.4
415,259.5,127
416,259.5,127
417,259.5,127
418,259.5,127
419,259.5,127
420,259.5,127
421,259.5,127
422,259.5,127
423,259.5,127
424,259.5,127
425,259.5,127
426,259.5,127
427,259.5,127
428,259.5,127
429,259.5,127
430,259.5,127
431,259.5,127
432,259.5,127
433,259.5,127
434,259.5,127
435,259.5,127
436,259.5,127
437,259.5,127
438,259.5,127
439,259.5,127
440,259.5,127
441,259.5,127
442,259.5,127
443,259.5,127
444,259.5,127
445,259.5,127
446,259.5,127
447,267.3,121.8
448,267.3,121.8
449,267.3,121.8
450,267.3,121.8
451,267.3,121.8
452,267.3,121.8
453,267.3,121.8
454,267.3,121.8
455,267.3,121.8
456,267.3,121.8
457,267.3,121.8
458,267.3,121.8
459,267.3,121.8
460,267.3,121.8
461,267.3,121.8
462,267.3,121.8
463,267.3,121.8
464,267.3,121.8
465,267.3,121.8
466,267.3,121.8
467,267.3,121.8
468,267.3,121.8
469,267.3,121.8
470,267.3,121.8
471,267.3,121.8
472,267.3,121.8
473,267.3,121.8
474,267.3,121.8
475,267.3,121.8
476,267.3,121.8
477,267.3,121.8
478,267.3,121.8
479,267.3,121.8
480,267.3,121.8
481,267.3,121.8
482,267.3,121.8
483,267.3,121.8
484,267.3,121.8
485,267.3,121.8
