t_sec,symbol,bid,bid_size,ask,ask_size
0.000,STOCK1,,,,
0.000,STOCK2,,,,
0.572,STOCK2,25.01,5000,,
1.913,STOCK2,25.01,5000,997.00,1000
6.156,STOCK1,,,150.00,4000
11.258,STOCK2,25.01,5000,996.00,5000
15.573,STOCK1,5.00,3000,150.00,4000
15.926,STOCK2,25.01,5000,995.00,5000
22.349,STOCK2,40.01,5000,995.00,5000
27.951,STOCK2,40.01,5000,994.00,1000
29.698,STOCK1,5.00,3000,15.00,100
30.899,STOCK2,40.01,5000,994.00,900
33.028,STOCK1,5.00,4000,15.00,100
35.778,STOCK1,60.00,1000,15.00,100
35.995,STOCK1,100.00,5000,15.00,100
36.184,STOCK2,100.00,100,994.00,900
38.461,STOCK2,100.00,100,994.00,800
38.992,STOCK2,100.00,100,994.00,1800
41.405,STOCK2,150.00,5000,994.00,1800
42.212,STOCK2,150.00,5000,994.00,1790
43.794,STOCK2,150.00,5000,994.00,1780
44.490,STOCK2,150.00,5000,900.00,5000
50.955,STOCK1,100.00,5000,150.00,4000
53.457,STOCK2,150.00,5000,890.00,1000
53.600,STOCK2,150.00,5000,890.00,2000
58.041,STOCK2,150.00,5000,890.00,1990
58.325,STOCK1,120.00,10,150.00,4000
61.983,STOCK2,150.00,4000,890.00,1990
62.053,STOCK2,200.00,5000,890.00,1990
62.204,STOCK1,150.00,100,150.00,4000
65.901,STOCK2,220.00,3000,890.00,1990
70.599,STOCK1,300.00,1000,150.00,4000
73.965,STOCK1,150.00,100,150.00,4000
73.996,STOCK2,220.00,3000,840.00,5000
74.402,STOCK1,150.00,1100,150.00,4000
77.411,STOCK1,150.00,2100,150.00,4000
79.088,STOCK2,220.00,3000,800.00,3800
80.127,STOCK2,250.00,10,800.00,3800
82.496,STOCK1,160.00,5000,150.00,4000
83.433,STOCK2,250.00,10,790.00,1000
84.755,STOCK1,160.00,5000,150.00,5000
89.813,STOCK1,160.00,5000,149.90,1000
91.842,STOCK2,250.00,10,700.00,5000
92.393,STOCK1,160.00,6000,149.90,1000
93.100,STOCK1,161.00,3000,149.90,1000
96.390,STOCK2,250.00,10,699.00,1000
101.353,STOCK2,220.00,2910,699.00,1000
102.054,STOCK1,170.00,1000,149.90,1000
103.184,STOCK1,170.00,1000,150.00,5000
105.304,STOCK2,220.00,2910,600.00,5000
108.168,STOCK2,220.00,2910,599.00,1000
110.883,STOCK2,220.00,2910,599.00,4000
110.964,STOCK1,190.01,5000,150.00,5000
116.465,STOCK2,221.00,100,599.00,4000
119.109,STOCK2,220.00,2010,599.00,4000
119.534,STOCK2,220.00,2010,450.00,5000
121.873,STOCK2,221.00,1000,450.00,5000
123.942,STOCK2,221.00,1000,400.00,3000
126.804,STOCK2,221.00,1000,399.00,1000
128.475,STOCK2,222.00,100,399.00,1000
129.381,STOCK1,195.00,5000,150.00,5000
134.137,STOCK2,222.00,100,380.00,5000
140.116,STOCK2,222.00,100,379.00,1000
142.398,STOCK1,200.00,1000,150.00,5000
142.649,STOCK2,225.01,5000,379.00,1000
143.460,STOCK2,225.01,5000,300.00,100
144.162,STOCK2,225.01,4000,300.00,100
147.316,STOCK2,225.01,3000,300.00,100
150.768,STOCK2,221.00,100,300.00,100
150.819,STOCK2,221.00,100,299.00,1000
152.341,STOCK2,225.02,1000,299.00,1000
152.565,STOCK2,221.00,100,299.00,1000
152.585,STOCK2,230.00,10,299.00,1000
154.084,STOCK1,210.00,5000,150.00,5000
159.668,STOCK2,225.02,10,299.00,1000
160.730,STOCK2,225.02,10,298.00,3000
161.158,STOCK2,200.00,5110,298.00,3000
161.595,STOCK2,200.00,4110,298.00,3000
163.033,STOCK2,200.00,4110,290.00,5000
163.478,STOCK1,211.00,5000,150.00,5000
167.649,STOCK2,200.00,3110,290.00,5000
167.842,STOCK2,200.00,3110,225.00,1000
173.819,STOCK2,200.00,3110,224.00,3000
173.960,STOCK2,200.00,2110,224.00,3000
174.387,STOCK2,200.01,1000,224.00,3000
175.740,STOCK2,200.00,2110,224.00,3000
176.852,STOCK2,200.00,1000,224.00,3000
177.087,STOCK1,215.00,5000,150.00,5000
179.943,STOCK2,200.00,1000,225.00,2000
181.994,STOCK2,190.00,1000,225.00,2000
183.739,STOCK2,190.00,1000,220.00,1000
184.721,STOCK2,200.01,1000,220.00,1000
188.344,STOCK1,215.00,5000,150.00,1000
189.099,STOCK2,200.01,1000,210.00,10
193.551,STOCK1,220.00,1000,150.00,1000
198.360,STOCK2,190.00,1100,210.00,10
201.685,STOCK2,202.00,20,210.00,10
202.714,STOCK2,190.00,120,210.00,10
205.594,STOCK2,160.00,120,210.00,10
208.765,STOCK2,150.00,5120,210.00,10
209.371,STOCK2,150.00,6120,210.00,10
210.151,STOCK2,150.00,6120,208.00,20
215.455,STOCK2,150.00,10120,208.00,20
216.210,STOCK2,150.00,10120,220.00,6980
216.868,STOCK2,150.00,9120,220.00,6980
218.880,STOCK1,225.00,3000,150.00,1000
222.062,STOCK2,150.00,9120,200.01,200
230.743,STOCK2,160.00,20,200.01,200
231.856,STOCK2,150.00,8140,200.01,200
235.920,STOCK2,150.00,8140,190.00,20
240.475,STOCK2,160.00,20,190.00,20
243.110,STOCK1,225.00,4000,150.00,1000
249.668,STOCK2,160.00,20,200.01,200
250.259,STOCK2,160.00,20,180.00,1000
251.716,STOCK2,150.00,7160,180.00,1000
252.113,STOCK1,227.00,2000,150.00,1000
259.864,STOCK2,150.00,6160,180.00,1000
268.155,STOCK2,150.00,6160,220.00,4380
272.447,STOCK2,150.00,6160,220.00,3380
272.698,STOCK2,150.00,6160,220.00,2380
272.891,STOCK2,150.00,6160,220.00,1380
273.053,STOCK2,150.00,6160,220.00,380
273.194,STOCK2,150.00,6160,225.00,1380
273.335,STOCK2,150.00,6160,225.00,380
273.516,STOCK2,150.00,6160,175.00,1500
274.224,STOCK1,230.00,2000,150.00,1000
276.434,STOCK1,230.00,2000,170.00,1000
278.966,STOCK2,150.00,6160,175.00,500
282.067,STOCK2,150.00,6160,275.00,880
287.628,STOCK2,150.00,5160,275.00,880
288.298,STOCK2,150.00,4160,275.00,880
288.308,STOCK2,150.00,4160,250.00,1000
288.942,STOCK2,150.00,3160,250.00,1000
289.815,STOCK2,150.00,2160,250.00,1000
298.262,STOCK2,150.00,1860,250.00,1000
298.534,STOCK2,160.00,2500,250.00,1000
299.190,STOCK2,160.00,2500,200.00,1000
301.808,STOCK2,160.00,2500,200.00,2000
305.021,STOCK2,160.00,2500,200.00,3000
306.594,STOCK1,230.00,7000,170.00,1000
306.866,STOCK2,160.00,2500,200.00,3100
307.198,STOCK2,160.00,2500,200.00,4100
307.745,STOCK2,160.00,1800,200.00,4100
310.713,STOCK2,160.00,1800,200.00,5100
311.044,STOCK1,230.00,8000,170.00,1000
311.912,STOCK2,160.00,1800,200.00,6100
313.590,STOCK2,160.00,1800,200.00,7100
314.975,STOCK2,160.00,1800,200.00,8100
317.011,STOCK2,180.00,3000,200.00,8100
319.302,STOCK2,180.00,2000,200.00,8100
319.364,STOCK1,230.00,10000,170.00,1000
321.205,STOCK1,235.00,5000,170.00,1000
321.345,STOCK2,180.00,1000,200.00,8100
322.376,STOCK2,180.00,1000,200.00,7100
322.609,STOCK2,180.00,1100,200.00,7100
323.186,STOCK1,235.00,5000,165.00,1000
325.177,STOCK2,180.00,100,200.00,7100
326.986,STOCK2,160.00,900,200.00,7100
328.758,STOCK1,240.00,1000,165.00,1000
328.789,STOCK1,240.00,3000,165.00,1000
329.992,STOCK2,150.00,1760,200.00,7100
331.006,STOCK2,180.00,100,200.00,7100
332.578,STOCK2,180.00,200,200.00,7100
332.737,STOCK2,150.00,960,200.00,7100
332.768,STOCK2,180.00,100,200.00,7100
333.211,STOCK2,180.00,200,200.00,7100
334.831,STOCK1,240.00,4000,165.00,1000
335.491,STOCK1,241.00,5000,165.00,1000
341.245,STOCK1,243.00,1000,165.00,1000
341.307,STOCK2,170.00,1200,200.00,7100
343.433,STOCK2,170.00,1200,190.00,10
344.532,STOCK2,170.00,200,190.00,10
346.696,STOCK1,245.00,2000,165.00,1000
348.334,STOCK1,235.00,4400,250.00,1410
349.239,STOCK1,235.00,4400,250.00,410
349.290,STOCK2,150.00,160,190.00,10
349.832,STOCK1,235.00,4400,275.00,410
350.176,STOCK2,120.30,160,190.00,10
350.622,STOCK1,235.00,4400,240.00,100
351.218,STOCK1,235.00,4400,300.00,2810
351.623,STOCK2,175.00,10,190.00,10
354.283,STOCK1,235.00,4400,300.00,1810
355.745,STOCK1,235.00,4400,300.00,810
356.617,STOCK1,240.00,5000,300.00,810
356.698,STOCK1,242.00,5000,300.00,810
357.281,STOCK1,242.00,10000,300.00,810
357.391,STOCK2,175.00,10,200.00,7000
359.760,STOCK1,242.00,10000,300.00,910
360.228,STOCK1,242.00,10000,300.00,1910
362.116,STOCK2,122.00,10,200.00,7000
362.632,STOCK1,245.00,2000,300.00,1910
363.211,STOCK1,245.00,2000,400.00,3910
363.945,STOCK2,110.00,370,200.00,7000
364.753,STOCK1,260.00,1500,400.00,3910
369.106,STOCK1,260.00,1500,400.00,910
369.961,STOCK1,260.00,1500,400.00,5910
370.071,STOCK1,260.00,1500,400.00,2910
370.222,STOCK2,110.00,370,199.00,10
