id,t_sec,symbol,price,qty,taker_side,buyer,seller,bid,ask
1,30.899,STOCK2,994.00,100,buy,T-023,T-008,40.01,994.00
2,38.461,STOCK2,994.00,100,buy,T-023,T-008,100.00,994.00
3,42.212,STOCK2,994.00,10,buy,T-004,T-008,150.00,994.00
4,43.794,STOCK2,994.00,10,buy,T-010,T-008,150.00,994.00
5,58.041,STOCK2,890.00,10,buy,T-004,T-008,150.00,890.00
6,61.983,STOCK2,150.00,1000,sell,T-011,T-035,150.00,890.00
7,101.353,STOCK2,250.00,10,sell,T-010,T-004,250.00,699.00
8,101.353,STOCK2,220.00,90,sell,T-022,T-004,250.00,699.00
9,119.109,STOCK2,221.00,100,sell,T-010,T-035,221.00,599.00
10,119.109,STOCK2,220.00,900,sell,T-022,T-035,221.00,599.00
11,144.162,STOCK2,225.01,1000,sell,T-011,T-035,225.01,300.00
12,147.316,STOCK2,225.01,1000,sell,T-011,T-004,225.01,300.00
13,150.768,STOCK2,225.01,3000,sell,T-011,T-029,225.01,300.00
14,150.768,STOCK2,222.00,100,sell,T-009,T-029,225.01,300.00
15,150.768,STOCK2,221.00,1000,sell,T-010,T-029,225.01,300.00
16,150.768,STOCK2,221.00,900,sell,T-010,T-029,225.01,300.00
17,152.565,STOCK2,225.02,1000,sell,T-010,T-004,225.02,299.00
18,159.668,STOCK2,230.00,10,sell,T-005,T-004,230.00,299.00
19,159.668,STOCK2,225.02,990,sell,T-010,T-004,230.00,299.00
20,161.158,STOCK2,225.02,10,sell,T-010,T-004,225.02,298.00
21,161.158,STOCK2,221.00,100,sell,T-010,T-004,225.02,298.00
22,161.158,STOCK2,200.00,890,sell,T-033,T-004,225.02,298.00
23,161.595,STOCK2,200.00,1000,sell,T-033,T-020,200.00,298.00
24,167.649,STOCK2,200.00,1000,sell,T-033,T-020,200.00,290.00
25,173.960,STOCK2,200.00,1000,sell,T-033,T-020,200.00,224.00
26,175.740,STOCK2,200.01,1000,sell,T-010,T-020,200.01,224.00
27,181.994,STOCK2,200.00,1000,sell,T-006,T-020,200.00,225.00
28,198.360,STOCK2,200.01,1000,sell,T-013,T-020,200.01,210.00
29,202.714,STOCK2,202.00,20,sell,T-005,T-020,202.00,210.00
30,202.714,STOCK2,190.00,980,sell,T-019,T-020,202.00,210.00
31,205.594,STOCK2,190.00,20,sell,T-019,T-020,190.00,210.00
32,205.594,STOCK2,190.00,100,sell,T-009,T-020,190.00,210.00
33,205.594,STOCK2,160.00,880,sell,T-024,T-020,190.00,210.00
34,208.765,STOCK2,160.00,120,sell,T-024,T-020,160.00,210.00
35,208.765,STOCK2,150.00,880,sell,T-011,T-020,160.00,210.00
36,216.210,STOCK2,208.00,20,buy,T-026,T-005,150.00,208.00
37,216.210,STOCK2,210.00,10,buy,T-026,T-005,150.00,208.00
38,216.210,STOCK2,220.00,20,buy,T-026,T-001,150.00,208.00
39,216.868,STOCK2,150.00,1000,sell,T-011,T-020,150.00,220.00
40,231.856,STOCK2,160.00,20,sell,T-005,T-020,160.00,200.01
41,231.856,STOCK2,150.00,980,sell,T-011,T-020,160.00,200.01
42,249.668,STOCK2,190.00,20,buy,T-023,T-005,160.00,190.00
43,251.716,STOCK2,160.00,20,sell,T-005,T-020,160.00,180.00
44,251.716,STOCK2,150.00,980,sell,T-011,T-020,160.00,180.00
45,259.864,STOCK2,150.00,160,sell,T-011,T-020,150.00,180.00
46,259.864,STOCK2,150.00,840,sell,T-006,T-020,150.00,180.00
47,268.155,STOCK2,180.00,1000,buy,T-035,T-024,150.00,180.00
48,268.155,STOCK2,200.01,200,buy,T-035,T-010,150.00,180.00
49,268.155,STOCK2,210.00,100,buy,T-035,T-029,150.00,180.00
50,268.155,STOCK2,210.00,100,buy,T-035,T-029,150.00,180.00
51,268.155,STOCK2,220.00,980,buy,T-035,T-001,150.00,180.00
52,268.155,STOCK2,220.00,1620,buy,T-035,T-033,150.00,180.00
53,272.447,STOCK2,220.00,1000,buy,T-039,T-033,150.00,220.00
54,272.698,STOCK2,220.00,1000,buy,T-039,T-033,150.00,220.00
55,272.891,STOCK2,220.00,1000,buy,T-039,T-033,150.00,220.00
56,273.053,STOCK2,220.00,380,buy,T-039,T-033,150.00,220.00
57,273.053,STOCK2,220.00,620,buy,T-039,T-006,150.00,220.00
58,273.194,STOCK2,220.00,380,buy,T-039,T-006,150.00,220.00
59,273.194,STOCK2,225.00,620,buy,T-039,T-001,150.00,220.00
60,273.335,STOCK2,225.00,380,buy,T-039,T-001,150.00,225.00
61,273.335,STOCK2,225.00,620,buy,T-039,T-001,150.00,225.00
62,278.966,STOCK2,175.00,1000,buy,T-023,T-007,150.00,175.00
63,282.067,STOCK2,175.00,500,buy,T-023,T-007,150.00,175.00
64,282.067,STOCK2,225.00,380,buy,T-023,T-001,150.00,175.00
65,282.067,STOCK2,275.00,120,buy,T-023,T-007,150.00,175.00
66,287.628,STOCK2,150.00,160,sell,T-006,T-004,150.00,275.00
67,287.628,STOCK2,150.00,840,sell,T-014,T-004,150.00,275.00
68,288.298,STOCK2,150.00,160,sell,T-014,T-004,150.00,275.00
69,288.298,STOCK2,150.00,840,sell,T-014,T-004,150.00,275.00
70,288.942,STOCK2,150.00,160,sell,T-014,T-004,150.00,250.00
71,288.942,STOCK2,150.00,840,sell,T-031,T-004,150.00,250.00
72,289.815,STOCK2,150.00,1000,sell,T-031,T-004,150.00,250.00
73,298.262,STOCK2,150.00,300,sell,T-031,T-035,150.00,250.00
74,307.745,STOCK2,160.00,700,sell,T-033,T-035,160.00,200.00
75,319.302,STOCK2,180.00,1000,sell,T-031,T-035,180.00,200.00
76,321.345,STOCK2,180.00,1000,sell,T-031,T-004,180.00,200.00
77,325.177,STOCK2,180.00,1000,sell,T-031,T-020,180.00,200.00
78,326.986,STOCK2,180.00,100,sell,T-009,T-020,180.00,200.00
79,326.986,STOCK2,160.00,900,sell,T-033,T-020,180.00,200.00
80,329.992,STOCK2,160.00,900,sell,T-033,T-020,160.00,200.00
81,329.992,STOCK2,150.00,100,sell,T-031,T-020,160.00,200.00
82,332.737,STOCK2,180.00,100,sell,T-009,T-020,180.00,200.00
83,332.737,STOCK2,180.00,100,sell,T-009,T-020,180.00,200.00
