t_sec,stock1,stock2,relative
0,240.3,139.8,1.72
46,244.2,137.2,1.78
69,254.1,130.6,1.95
109,252.9,131.4,1.92
121,250.5,133,1.88
149,235.2,143.2,1.64
162,240.6,139.6,1.72
185,248.7,134.2,1.85
248,249,134,1.86
297,261,126,2.07
307,253.5,131,1.94
323,261,126,2.07
362,252.9,131.4,1.92
415,259.5,127,2.04
447,267.3,121.8,2.19
511,270.3,119.8,2.26
514,257.4,128.4,2
553,261,126,2.07
593,258.9,127.4,2.03
656,263.4,124.4,2.12
656,269.4,120.4,2.24
706,284.1,110.6,2.57
766,283.8,110.8,2.56
793,273.6,117.6,2.33
830,274.8,116.8,2.35
898,283.5,111,2.55
901,273.9,117.4,2.33
941,274.2,117.2,2.34
993,287.7,108.2,2.66
1001,289.2,107.2,2.7
1005,291,106,2.75
1014,278.7,114.2,2.44
1080,287.7,108.2,2.66
1111,290.1,106.6,2.72
1123,292.8,104.8,2.79
1148,287.7,108.2,2.66
1204,288.9,107.4,2.69
1262,307.2,95.2,3.23
1326,316.2,89.2,3.54
1340,319.8,86.8,3.68
1379,314.1,90.6,3.47
1417,319.5,87,3.67
1474,312.9,91.4,3.42
1541,329.1,80.6,4.08
1581,326.7,82.2,3.97
1620,323.4,84.4,3.83
1676,334.5,77,4.34
1728,324,84,3.86
1786,320.7,86.2,3.72
1798,320.7,86.2,3.72
1839,315.9,89.4,3.53
1887,305.1,96.6,3.16
1938,307.2,95.2,3.23
1977,295.2,103.2,2.86
1996,285,110,2.59
2060,282.3,111.8,2.53
2100,293.7,104.2,2.82
2104,280.5,113,2.48
2120,287.7,108.2,2.66
2182,286.2,109.2,2.62
2239,280.2,113.2,2.48
2285,288.9,107.4,2.69
2288,279.3,113.8,2.45
2309,276.3,115.8,2.39
2375,282.9,111.4,2.54
2406,284.7,110.2,2.58
2409,279.3,113.8,2.45
2438,287.4,108.4,2.65
2472,285.3,109.8,2.6
2525,281.7,112.2,2.51
2582,286.5,109,2.63
2642,279.9,113.4,2.47
2681,269.1,120.6,2.23
2683,266.4,122.4,2.18
2724,272.4,118.4,2.3
2755,257.1,128.6,2
2804,255.9,129.4,1.98
2827,258,128,2.02
2876,254.4,130.4,1.95
2930,250.5,133,1.88
2958,249.6,133.6,1.87
2995,252,132,1.91
3062,255.9,129.4,1.98
3084,258.3,127.8,2.02
3091,255.6,129.6,1.97
3091,256.8,128.8,1.99
3147,255.9,129.4,1.98
3175,254.4,130.4,1.95
3214,260.7,126.2,2.07
3259,259.8,126.8,2.05
3297,238.5,141,1.69
3364,239.1,140.6,1.7
3400,234,144,1.63
3451,223.2,151.2,1.48
3478,236.4,142.4,1.66
3504,233.4,144.4,1.62
3517,239.7,140.2,1.71
3527,229.2,147.2,1.56
3582,245.1,136.6,1.79
3588,244.8,136.8,1.79
3600,244.8,136.8,1.79
